wastewater_treatment_plant.name,collection_date,target,dilution,assay,gc_per_lww,TotalDroplets,flow,ara_id,population
CDA Lugano,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,7789.699947563491,17462,89762,515100,124000
ARA Werdhoelzli,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,11833.88558133699,25864,310028,26101,471000
ARA Werdhoelzli,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,20522.56435453051,26517,310028,26101,471000
STEP Aire,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,43901.93007888225,24800,331838,664301,454000
STEP Aire,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,37051.96949449319,24791,331838,664301,454000
CDA Lugano,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,8853.545193206912,19205,68655,515100,124000
CDA Lugano,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,8001.0448453523395,21251,68655,515100,124000
ARA Werdhoelzli,2021-08-06T00:00:00Z,SARS-N1,3,n1mhv,26718.56189848434,25462,284068,26101,471000
ARA Werdhoelzli,2021-08-06T00:00:00Z,SARS-N1,3,n1mhv,18485.82864505713,25758,284068,26101,471000
STEP Aire,2021-08-06T00:00:00Z,SARS-N1,3,n1mhv,121837.2769559379,25162,151148,664301,454000
CDA Lugano,2021-08-06T00:00:00Z,SARS-N1,3,n1mhv,5230.144362207341,19505,102940,515100,124000
ARA Werdhoelzli,2021-08-05T00:00:00Z,SARS-N1,3,n1mhv,13669.71157850392,24879,325663,26101,471000
ARA Werdhoelzli,2021-08-05T00:00:00Z,SARS-N1,3,n1mhv,9193.822828938988,25892,325663,26101,471000
STEP Aire,2021-08-05T00:00:00Z,SARS-N1,3,n1mhv,92014.15336379614,24052,156341,664301,454000
STEP Aire,2021-08-05T00:00:00Z,SARS-N1,3,n1mhv,81650.65987760074,25016,156341,664301,454000
CDA Lugano,2021-08-05T00:00:00Z,SARS-N1,3,n1mhv,3679.476263994732,18483,134699,515100,124000
CDA Lugano,2021-08-05T00:00:00Z,SARS-N1,3,n1mhv,1807.4174155710969,18813,134699,515100,124000
ARA Werdhoelzli,2021-08-04T00:00:00Z,SARS-N1,3,n1mhv,19012.244353232098,25045,376389,26101,471000
ARA Werdhoelzli,2021-08-04T00:00:00Z,SARS-N1,3,n1mhv,15518.95970454758,26298,376389,26101,471000
STEP Aire,2021-08-04T00:00:00Z,SARS-N1,3,n1mhv,68492.4844329587,22859,278681,664301,454000
STEP Aire,2021-08-04T00:00:00Z,SARS-N1,3,n1mhv,69489.44070905022,23511,278681,664301,454000
CDA Lugano,2021-08-04T00:00:00Z,SARS-N1,3,n1mhv,1870.24780016891,18181,156488,515100,124000
CDA Lugano,2021-08-04T00:00:00Z,SARS-N1,3,n1mhv,4048.1028826188085,16800,156488,515100,124000
CDA Lugano,2021-08-03T00:00:00Z,SARS-N1,3,n1mhv,15967.77243249493,25559,120393,515100,124000
STEP Aire,2021-08-03T00:00:00Z,SARS-N1,3,n1mhv,106939.64145459751,25158,175814,664301,454000
STEP Aire,2021-08-03T00:00:00Z,SARS-N1,3,n1mhv,83920.08300822163,25963,175814,664301,454000
ARA Altenrhein,2021-08-03T00:00:00Z,SARS-N1,3,n1mhv,25768.883478473883,25080,40752,323700,64000
